metric,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
lddt_swissprot,-0.4235361004875621,0.0015774390316294715,-0.43620541907193794,0.0010942132761331013
bits_swissprot,-0.3015691451584338,0.028201367558750877,-0.382412513120484,0.004714818566519686
qtmscore_swissprot,-0.29941635628508034,0.029402713794939785,-0.38063398840169665,0.004928554680010233
prob_swissprot,-0.2922059883133595,0.033741685198896754,-0.3731145319360507,0.005928999734423812
fident_swissprot,-0.3164365883083668,0.020975287956349918,-0.37194272558373775,0.006099917441454381
alntmscore_swissprot,-0.36733973116734403,0.006813665808225587,-0.3710150789475022,0.006238259754311239
evalue_swissprot,-0.34528871330232347,0.01133468558558039,-0.3582365319343156,0.008442051089935891
qstart_swissprot,0.1626667326918795,0.2445196068967728,0.3510543658013633,0.009955409048918997
similarity_check,-0.2186853114178422,0.14425792673260734,-0.34811392302946603,0.017753104446505293
qend_swissprot,-0.15740849145749075,0.2603093338225906,-0.2781279314357588,0.04374779458366902
tend_swissprot,-0.18639027515723783,0.1814414801960052,-0.2723927737453423,0.04846693921116924
ttmscore_swissprot,-0.19374869778967035,0.16450157292443407,-0.22730642036490628,0.10165936513412342
esm_pll,0.04910740137962972,0.7269442525724905,0.2263181564628855,0.10319580554510874
alnlen_swissprot,-0.16767205214363715,0.23010749858996984,-0.21808243313759332,0.11670527090455633
pae_interaction,0.05491669691125285,0.6961215864328509,-0.16351486804443477,0.24203524520617462
tstart_swissprot,-0.011326615859265195,0.9358433443088607,-0.16214568310789393,0.24605445036633794
tstart_pdb,-0.16714071317037435,0.23160897703590502,-0.15581050508493208,0.26524048887517315
iptm,-0.11733681548906463,0.4027321651879811,0.15032883242140258,0.2826281923492896
gapopen_swissprot,0.3320463597122602,0.015138528093697536,0.14991324782919566,0.2839762894751231
plddt,-0.05305011194664202,0.7059750386232619,0.13902401039862966,0.32080359311599177
prob_pdb,0.11838905727624077,0.3984970526692963,-0.0939484633872551,0.503413590822115
tend_pdb,0.23633438186883285,0.08842928444873403,0.09374882084209711,0.5043250136871771
mismatch_pdb,0.09932265610743321,0.4791996510244355,-0.08570965763827391,0.5417151306902518
qstart_pdb,-0.07131798721666138,0.6118256096481622,-0.0780787588688619,0.5784041338315127
gapopen_pdb,0.20245912995261556,0.1459786844604977,-0.06950279556821454,0.620938061782013
fident_pdb,0.05098643933743052,0.7169247707838108,0.05924545361350678,0.6734636482660901
bits_pdb,0.08831137964448425,0.5294692039162034,-0.05435848261401485,0.6990632007371399
qtmscore_pdb,0.09023441825880392,0.5205064013194793,-0.021177767033604696,0.8803568140461862
alntmscore_pdb,0.003964250052542978,0.9775248966951687,0.02049028899940185,0.8842136871277158
qend_pdb,0.23035923379643725,0.09702464640340049,0.018696527411586478,0.8942893291310312
lddt_pdb,0.1172724860663523,0.4029919273820524,-0.01564083175955156,0.9114906386605074
mismatch_swissprot,-0.10451234320770873,0.45641588375409686,-0.014511260558156368,0.9178599169416539
ttmscore_pdb,0.029155208013663163,0.8358256472813305,-0.012650078399844028,0.9283654869698361
alnlen_pdb,0.2358793282094104,0.08906217807950538,-0.009894972439985834,0.943938615583817
evalue_pdb,0.0740162606944162,0.5983873556384407,-0.003354764167774665,0.98097965142194
