metric,t_statistic,p_value,significant
aggrescan3d_avg_value,-11.096738787537257,4.890652862456522e-25,yes
composition_GLU,10.735438364403278,1.1951873265178626e-23,yes
composition_LYS,10.013618681405942,3.83992753288352e-21,yes
aggrescan3d_min_value,-8.592163285637849,2.2495116835670494e-16,yes
ss_prop_alpha_helix,8.571027260824177,2.377508221073661e-16,yes
rosetta_hbond_sr_bb,-7.656689514367371,1.6100241996146985e-13,yes
composition_GLY,-7.238326905152479,7.312416265429683e-12,yes
ss_prop_beta_strand,-7.167137604574871,8.27245515703135e-12,yes
isoelectric_point,-6.315655569492997,1.0992013204452808e-09,yes
composition_SER,-6.2554106051398914,2.7744969421326804e-09,yes
charge,-5.8764658384549655,1.1499110459494006e-08,yes
composition_LEU,5.684561065845854,2.837291742181291e-08,yes
aggrescan3d_total_value,-5.646445770388649,3.299478051422987e-08,yes
composition_GLN,-5.4041859991978125,1.7081493902669967e-07,yes
composition_TYR,-5.404152426102877,1.795343927328368e-07,yes
ss_prop_loop,-5.125391445706976,6.917431367372075e-07,yes
composition_THR,-4.8345698607610075,2.610711158953908e-06,yes
rosetta_hbond_lr_bb,4.792131495921278,3.428295734560699e-06,yes
rosetta_lk_ball_wtd,-4.481955292968069,1.1067593709199038e-05,yes
rosetta_rama_prepro,-4.217567158902746,4.3424987544096265e-05,yes
aggrescan3d_max_value,-4.144902123033995,4.945670264750168e-05,yes
rosetta_dslf_fa13,-4.033768754642947,7.390957416221117e-05,yes
ttmscore_swissprot,-3.944526221862362,0.0001082967157216417,yes
composition_TRP,-3.7607347891100122,0.00021436502226915028,yes
rosetta_hbond_bb_sc,3.5161327535967146,0.0005493274670434146,yes
rosetta_hbond_sc,3.368814866886969,0.0009173372700837091,yes
alntmscore_swissprot,-3.3169206709809185,0.0010512856731974625,yes
ss_prop_hbonded_turn,-3.3004997461593932,0.0010739510825913394,yes
evoef2_ref_total,3.3003112392259437,0.0011732275854281233,yes
evoef2_intraR_total,-3.165133238669151,0.001819937076299952,yes
budeff_charge,-3.108402454590519,0.0020346514440409444,yes
evalue_swissprot,-3.1003959835338195,0.0021607148619480513,yes
packing_density,-3.08717147521933,0.0023803503545269827,yes
fident_swissprot,-3.0284791304897563,0.002682790577831995,yes
iptm,2.9652843755870237,0.0033946712515591916,yes
composition_PHE,-2.5328331281933862,0.011917206445983746,yes
evoef2_total,-2.4554262855216678,0.015251522879372684,yes
evoef2_interS_total,-2.374896814239358,0.018910256532207525,yes
budeff_total,-2.3462170116703236,0.020219717941046864,yes
lddt_swissprot,-2.318432307417142,0.021154887785089282,yes
bits_pdb,-2.317076194924168,0.021267398923585326,yes
budeff_steric,-2.2823510926792654,0.02391282543121099,yes
qtmscore_pdb,-2.2196415624101715,0.027264541191157957,yes
rosetta_fa_rep,-2.2082372339606686,0.028787697910227412,yes
rosetta_total,-2.2058509799568027,0.028956027596484666,yes
ss_prop_3_10_helix,-2.18384391164863,0.02986401306078507,yes
ss_prop_bend,-2.138421594219642,0.03322988500427593,yes
gapopen_swissprot,2.0327493436034847,0.04333173558918017,yes
